Sr no,selling_price (in Rs.),km_driven (in km),mileage,engine,max_power,torque,seats,Age of the car (in years)
1,450000,145500,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,6
2,370000,120000,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5,6
3,158000,140000,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,14
4,225000,127000,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,10
5,130000,120000,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,13
6,440000,45000,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,3
7,96000,175000,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,13
8,45000,5000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,19
9,350000,90000,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5,9
10,200000,169000,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5,7
11,500000,68000,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,6
12,92000,100000,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,15
13,280000,140000,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,11
14,200000,80000,,,,,,13
15,180000,90000,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,11
16,400000,40000,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5,4
17,778000,70000,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,4
18,500000,53000,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,8
19,150000,80000,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,18
20,680000,100000,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,4
21,174000,100000,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,9
22,950000,50000,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,3
23,525000,40000,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,5
24,600000,72000,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,8
25,500000,35000,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5,2
26,575000,45000,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,4
27,275000,28000,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,3
28,300000,70000,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7,7
29,220000,120000,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,11
30,254999,25000,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8,2
31,670000,70000,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,3
32,70000,50000,,,,,,17
33,150000,35000,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,8
34,730000,2388,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,2
35,650000,16200,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,3
36,330000,10000,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4,1
37,366000,15000,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,1
38,1149000,5000,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,1
39,150000,42000,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5,4
40,425000,60000,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,9
41,150000,76000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,8
42,2100000,5000,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5,1
43,925000,28900,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,2
44,425000,86300,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,7
45,675000,23300,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,2
46,819999,32600,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,2
47,390000,10300,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,2
48,1500000,77000,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,6
49,700000,99000,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7,7
50,1450000,27800,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5,6
51,425000,49800,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5,5
52,1090000,151000,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7,7
53,600000,54700,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,5
54,850000,64000,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5,2
55,525000,63000,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,5
56,1650000,127700,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,4
57,950000,99000,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,4
58,1750000,33900,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5,7
59,1590000,25000,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,2
60,1689999,50000,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5,7
61,1425000,59000,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5,7
62,265000,120000,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5,9
63,190000,110000,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,9
64,425000,60000,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,7
65,630000,147000,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,5
66,600000,25000,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,3
67,650000,30000,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,1
68,540000,40000,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5,4
69,630000,135000,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,5
70,448000,30000,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,2
71,500000,80000,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,3
72,745000,70000,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,4
73,1025000,9850,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,1
74,235000,60000,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,9
75,630000,70000,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,4
76,1700000,78000,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,5
77,450000,120000,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,7
78,450000,120000,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,8
79,50000,70000,,,,,,17
80,450000,170000,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,7
81,1200000,140000,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,4
82,610000,90000,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,5
83,2500000,30000,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5,4
84,484999,10000,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,3
85,275000,49000,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5,4
86,315000,32000,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,4
87,275000,38000,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,4
88,475000,78000,,,,,,5
89,290000,28000,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,8
90,280000,32000,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,3
91,225000,44000,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5,10
92,455000,42000,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5,5
93,351000,45000,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,5
94,535000,12000,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,8
95,175000,55500,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,11
96,525000,61500,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,7
97,600000,150000,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,4
98,565000,72000,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,4
99,120000,68000,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,12
100,725000,110000,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,3
101,185000,77000,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,11
102,200000,100000,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5,10
103,615000,10000,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,1
104,270000,100000,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7,4
105,610000,35000,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,2
106,625000,70000,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,6
107,400000,5000,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5,0
108,866000,37800,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,3
109,700000,114000,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5,10
110,300000,48000,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5,10
111,1700000,32000,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7,1
112,375000,100000,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5,4
113,522000,150000,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,7
114,451999,69000,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,7
115,300000,100000,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5,11
116,475000,13000,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,0
117,780000,60000,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,4
118,595000,40000,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,3
119,440000,35000,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,3
120,300000,120000,,,,,,10
121,400000,70000,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,6
122,1140000,50000,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,4
123,850000,76139,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,3
124,370000,175000,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,8
125,350000,25000,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5,2
126,360000,40000,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,5
127,105000,65000,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,12
128,625000,90000,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,7
129,135000,80000,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,11
130,700000,110000,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,5
131,690000,1303,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5,1
132,3975000,31800,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5,2
133,5150000,20000,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,1
134,3200000,45000,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,3
135,4100000,17000,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5,3
136,4500000,21000,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7,1
137,6000000,37000,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5,3
138,3790000,29500,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5,2
139,2150000,27000,,,,,,3
140,5800000,7500,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,1
141,1864999,50000,14.67 kmpl,1798 CC,177.46 bhp,250@ 1250-5000rpm,5,2
142,2700000,35000,15.0 kmpl,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5,4
143,1750000,19000,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5,1
144,795000,41000,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5,3
145,625000,39000,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,7
146,3400000,22000,18.0 kmpl,1969 CC,190 bhp,400Nm,5,2
147,2650000,53000,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7,5
148,535000,40000,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,5
149,5850000,47000,13.5 kmpl,2987 CC,282 bhp,490Nm@ 1600rpm,5,3
150,975000,72200,10.8 kmpl,2497 CC,150 bhp,250 Nm at 2750 rpm,5,10
151,805000,49900,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,4
152,2625000,9000,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,3
153,811000,11000,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5,2
154,375000,49000,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,9
155,550000,95000,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,8
156,645000,11000,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,4
157,2550000,18000,15.04 kmpl,1991 CC,183 bhp,300Nm@ 1200-4000rpm,5,2
158,599000,46100,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,6
159,2700000,16000,14.74 kmpl,1991 CC,181.04 bhp,300Nm@ 1200-1400rpm,5,3
160,875000,18000,15.6 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,3
161,894999,9654,19.56 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,1
162,175000,11000,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,9
163,340000,24300,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,8
164,1525000,42163,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,4
165,1025000,8000,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5,2
166,2150000,30000,22.69 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,4
167,1900000,41000,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,4
168,2900000,12000,18.12 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,4
169,450000,71000,12.1 kmpl,2362 CC,164.7 bhp,224Nm@ 4000rpm,5,11
170,850000,20000,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7,4
171,10000000,30000,42.0 kmpl,1969 CC,400 bhp,640Nm@ 1740rpm,4,3
172,300000,100000,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,9
173,575000,9500,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,2
174,160000,120000,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5,9
175,515000,36600,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,5
176,390000,50000,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,5
177,550000,14000,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,4
178,40000,40000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,21
179,220000,120000,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5,10
180,425000,70000,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,5
181,480000,13000,19.44 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm,5,1
182,400000,60000,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,6
183,487000,35000,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,6
184,386000,44000,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,4
185,100000,120000,13.0 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm,5,15
186,300000,60000,21.43 kmpl,1364 CC,87.2 bhp,205Nm@ 1800-2800rpm,5,10
187,100000,60000,18.5 kmpl,796 CC,53 bhp,71Nm@ 3500rpm,5,20
188,1750000,30000,13.0 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,6
189,450000,15000,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6,4
190,490000,90000,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5,3
191,345000,47000,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5,11
192,85000,90000,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,15
193,215000,120600,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,10
194,320000,100000,16.2 kmpl,1599 CC,103.2 bhp,14.9 KGM at 3000 RPM,5,10
195,459999,60000,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,4
196,65000,86000,15.3 kmpl,1341 CC,83 bhp,115Nm@ 3200rpm,5,15
197,720000,5000,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5,0
198,800000,37000,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,3
199,520000,14000,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5,1
200,580000,70000,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,5
201,235000,120000,,,,,,8
202,600000,50000,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,5
203,290000,60000,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5,6
204,360000,50000,26.6 km/kg,998 CC,58.16 bhp,77Nm@ 3500rpm,5,4
205,550000,50000,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,3
206,375000,70000,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,7
207,40000,90000,,,,,,17
208,420000,35000,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,2
209,550000,20000,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,3
210,270000,20000,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,2
211,700000,7800,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,2
212,500000,20000,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,3
213,1250000,15000,17.6 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,1
214,320000,31377,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,7
215,700000,50000,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,2
216,290000,60000,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,5
217,550000,100000,14.53 kmpl,1794 CC,138.1 bhp,173Nm@ 4000rpm,5,8
218,265000,60000,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5,8
219,830000,5000,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,2
220,800000,60000,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,3
221,160000,25000,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,9
222,335000,30000,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,2
223,329000,80000,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5,3
224,775000,75000,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,3
225,524000,32000,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,0
226,245000,40000,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,5
227,275000,93000,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,8
228,520000,60000,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,2
229,130000,120000,,,,,,12
230,550000,37000,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5,6
231,910000,15000,17.0 kmpl,1497 CC,121.36 bhp,150Nm@ 4500rpm,5,2
232,300000,80000,19.49 kmpl,1198 CC,67.04 bhp,104Nm@ 4000rpm,5,5
233,350000,140000,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,4
234,900000,70000,12.83 kmpl,2696 CC,162 bhp,340Nm@ 1800-3250rpm,7,7
235,300000,120000,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,7
236,250000,110000,21.1 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,10
237,1100000,37000,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,3
238,270000,44000,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,4
239,640000,80000,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,5
240,650000,125000,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,5
241,409999,13500,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,3
242,165000,75000,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,9
243,80000,120000,13.2 kmpl,1495 CC,94 bhp,"12.5@ 3,500(kgm@ rpm)",5,13
244,535000,120000,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,8
245,700000,70000,12.99 kmpl,2494 CC,100.57 bhp,200Nm@ 1400-3400rpm,7,7
246,550000,70000,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,7
247,680000,15000,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,1
248,200000,53000,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5,11
249,500000,120000,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,6
250,1000000,70000,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,4
251,110000,120000,14.2 kmpl,1341 CC,82.9 bhp,"11.8@ 3,200(kgm@ rpm)",5,12
