Sr no,selling_price (in Rs.),km_driven (in km),mileage,engine,max_power,torque,seats,Age of the car (in years)
252,320000,100000,18.5 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,8
253,75000,110000,,,,,,15
254,350000,100000,20.4 kmpl,1197 CC,83.11 bhp,113Nm@ 4200rpm,5,5
255,170000,162500,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5,7
256,800000,39000,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,3
257,500000,75000,26.8 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,3
258,1380000,50000,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7,3
259,1300000,40000,17.3 kmpl,1497 CC,121 bhp,300Nm@ 1750-2500rpm,8,1
260,530000,92500,22.32 kmpl,1582 CC,126.3 bhp,259.9Nm@ 1900-2750rpm,5,7
261,360000,158000,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,8
262,310000,120000,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,8
263,725000,50000,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,5
264,340000,110000,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,8
265,550000,2000,25.4 kmpl,1186 CC,73.97 bhp,190.25nm@ 1750-2250rpm,5,3
266,1150000,181000,11.5 kmpl,2982 CC,171 bhp,343Nm@ 1400-3400rpm,7,9
267,380000,70000,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5,4
268,350000,90000,17.97 kmpl,1498 CC,99.6 bhp,134Nm@ 4000rpm,5,7
269,610000,2000,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5,1
270,525000,20000,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,5
271,480000,120000,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7,9
272,780000,35000,16.55 kmpl,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6,3
273,320000,193000,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,8
274,375000,80000,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,6
275,300000,40000,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5,1
276,500000,70000,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,5
277,404000,122358,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9,9
278,500000,75000,14.07 kmpl,2956 CC,69.01 bhp,223Nm@ 1600-2200rpm,7,5
279,350000,120000,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5,3
280,380000,40000,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,5
281,114999,95200,13.2 kmpl,1495 CC,94 bhp,"12.5@ 3,500(kgm@ rpm)",5,12
282,335000,33033,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5,6
283,465000,63063,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,5
284,290000,60000,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm,5,8
285,110000,45000,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,15
286,450000,80000,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7,9
287,400000,170000,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7,11
288,210000,207890,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7,13
289,4600000,7976,17.9 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5,2
290,220000,35000,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8,4
291,450000,35000,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,3
292,450000,35000,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,3
293,290000,50000,16.95 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5,7
294,520000,20000,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,4
295,265000,20000,16.95 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5,9
296,330000,50000,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,8
297,330000,50000,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,8
298,509999,120000,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,6
299,500000,70000,17.1 kmpl,1591 CC,121.3 bhp,154.9Nm@ 4200rpm,5,6
300,525000,50000,17.19 kmpl,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5,5
301,675000,16500,21.01 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,1
302,300000,70000,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,10
303,90000,99361,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,15
304,650000,25000,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,3
305,409000,70000,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,6
306,395000,80000,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5,5
307,215000,70000,,,,,,10
308,400000,70000,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,6
309,120000,60000,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5,8
310,645000,10000,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5,2
311,81000,80000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,14
312,1300000,30000,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5,3
313,1250000,33000,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5,3
314,535000,90000,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,7
315,555000,80100,19.01 kmpl,1461 CC,108.5 bhp,248Nm@ 2250rpm,5,6
316,725000,120000,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,6
317,300000,10000,,,,,,37
318,229999,40000,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,4
319,800000,160000,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,7
320,409999,47000,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,3
321,1210000,25000,21.38 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5,2
322,400000,26000,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5,3
323,520000,29000,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,2
324,650000,50000,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,4
325,325000,58000,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,9
326,420000,120000,17.4 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,8
327,400000,50000,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,6
328,254999,80000,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,10
329,65000,60000,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,17
330,351000,36000,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,3
331,404000,120000,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8,13
332,185000,185000,21.1 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,9
333,250000,50000,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5,9
334,60000,100000,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,18
335,500000,50000,17.1 kmpl,1591 CC,121.3 bhp,154.9Nm@ 4200rpm,5,7
336,85000,80000,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,13
337,85000,60000,,,,,,15
338,85000,80000,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,15
339,265000,90000,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,9
340,130000,162000,19.0 kmpl,998 CC,66.1 bhp,90Nm@ 3500rpm,5,10
341,480000,110000,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,7
342,170000,120000,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5,12
343,275000,45000,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5,9
344,89000,90000,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,15
345,170000,90000,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5,10
346,1090000,16500,17.0 kmpl,1197 CC,110 bhp,200Nm@ 2000-3500rpm,5,1
347,1100000,67000,17.01 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,3
348,610000,52000,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,2
349,335000,40000,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5,4
350,434999,40000,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,5
351,3000000,35000,14.24 kmpl,2755 CC,174.5 bhp,420Nm@ 1400-2600rpm,7,2
352,390000,13000,20.71 kmpl,799 CC,53.26 bhp,72Nm@ 4386rpm,5,2
353,325000,40000,18.5 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5,8
354,640000,10000,17.0 kmpl,1198 CC,73.75 bhp,110Nm@ 3750rpm,5,1
355,450000,9000,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5,8
356,400000,70000,23.59 kmpl,1364 CC,67.06 bhp,170Nm@ 1800-2400rpm,5,7
357,215000,60000,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5,11
358,570000,40000,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,6
359,680000,93000,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,8
360,325000,80000,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7,12
361,150000,50000,15.64 kmpl,1193 CC,64.08 bhp,100Nm@ 2700rpm,5,9
362,690000,68000,14.5 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,7
363,1550000,25000,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5,7
364,64000,18000,25.4 kmpl,624 CC,37.5 bhp,51Nm@ 4000rpm,4,8
365,250000,120000,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5,7
366,65000,35000,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,15
367,550000,60000,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,4
368,140000,70000,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,10
369,300000,30000,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,4
370,800000,70000,16.34 kmpl,1798 CC,189.3 bhp,250Nm@ 1250-5300rpm,5,4
371,2625000,9000,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,3
372,5150000,20000,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,1
373,3200000,45000,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,3
374,503000,110000,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,5
375,3800000,20000,18.0 kmpl,1969 CC,190 bhp,400Nm,5,1
376,2000000,68089,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,4
377,225000,58343,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,7
378,740000,38817,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,2
379,550000,56494,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,4
380,750000,79328,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,7
381,650000,5621,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,1
382,625000,25538,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,3
383,600000,69779,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,2
384,450000,56290,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,3
385,5400000,7500,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,1
386,5500000,8500,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,1
387,779000,7032,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,1
388,645000,11000,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,4
389,2475000,2000,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,2
390,150000,106000,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,10
391,500000,120000,11.1 kmpl,2354 CC,158.8 bhp,218Nm@ 4200rpm,5,11
392,480000,90000,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,5
393,535000,70000,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,6
394,250000,240000,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8,15
395,300000,100000,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,8
396,340000,214000,13.9 kmpl,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5,11
397,340000,214000,16.8 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5,11
398,240000,50000,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,4
399,1085000,1000,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5,2
400,750000,19000,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,3
401,95000,265000,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5,8
402,409999,35000,20.88 km/kg,1196 CC,61.7 bhp,85Nm@ 3000rpm,5,0
403,215000,80000,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,6
404,1290000,50000,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,4
405,150000,80000,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,10
406,219000,50000,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,7
407,325000,100000,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5,2
408,260000,120000,15.1 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,7
409,2625000,9000,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,3
410,5150000,20000,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,1
411,3200000,45000,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,3
412,503000,110000,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,5
413,3800000,20000,18.0 kmpl,1969 CC,190 bhp,400Nm,5,1
414,2000000,68089,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,4
415,225000,58343,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,7
416,740000,38817,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,2
417,550000,56494,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,4
418,750000,79328,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,7
419,650000,5621,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,1
420,625000,25538,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,3
421,600000,69779,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,2
422,450000,56290,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,3
423,5400000,7500,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,1
424,5500000,8500,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,1
425,779000,7032,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,1
426,645000,11000,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,4
427,2475000,2000,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,2
428,700000,40000,23.8 kmpl,1498 CC,78.9 bhp,160Nm@ 1750rpm,5,1
429,950000,45000,21.38 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5,3
430,160000,80000,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,10
431,409999,135000,24.4 kmpl,1120 CC,71.01 bhp,180.4Nm@ 1750-2500rpm,5,5
432,840000,120000,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7,5
433,450000,67000,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5,7
434,900000,50000,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,3
435,570000,134000,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7,12
436,254999,110000,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5,9
437,130000,40000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,11
438,530000,120000,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,7
439,520000,110000,20.14 kmpl,1498 CC,88.8 bhp,230Nm@ 1500-2500rpm,5,5
440,229999,170000,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,9
441,81000,80000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,16
442,600000,47000,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,4
443,409999,93000,19.1 kmpl,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5,5
444,120000,70000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,10
445,320000,50000,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,6
446,292000,70000,20.0 kmpl,1399 CC,68.05 bhp,160Nm@ 2000rpm,5,5
447,390000,80000,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,8
448,550000,44000,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,4
449,385000,25000,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,6
450,800000,25000,15.29 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,4
451,675000,10000,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,1
452,1525000,50000,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7,2
453,950000,30000,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,2
454,610000,50000,21.19 kmpl,1396 CC,88.73 bhp,219.66nm@ 1500-2750rpm,5,5
455,525000,120000,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,8
456,700000,40000,23.8 kmpl,1498 CC,78.9 bhp,160Nm@ 1750rpm,5,1
457,375000,80000,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,5
458,580000,90000,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,5
459,434999,50000,20.4 kmpl,1197 CC,83.11 bhp,115Nm@ 4000rpm,5,5
460,350000,2136,22.5 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5,0
461,730000,250000,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7,8
462,600000,35000,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,5
463,1050000,120000,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7,5
464,735000,70000,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,3
465,1050000,18000,19.6 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5,2
466,420000,110000,18.2 kmpl,1248 CC,73.74 bhp,172.5Nm@ 1750rpm,7,4
467,800000,60000,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,3
468,2000000,60000,12.55 kmpl,2982 CC,168.5 bhp,360Nm@ 1400-3200rpm,7,5
469,600000,147000,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,4
470,1900000,130000,12.55 kmpl,2982 CC,168.5 bhp,360Nm@ 1400-3200rpm,7,5
471,500000,99500,11.5 kmpl,1991 CC,147.9 bhp,320Nm@ 2000rpm,7,9
472,200000,110000,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm ,5,9
473,370000,35000,19.49 kmpl,1198 CC,67.04 bhp,104Nm@ 4000rpm,5,4
474,260000,110000,16.2 kmpl,1493 CC,110 bhp,24 KGM at 1900-2750 RPM,5,10
475,280000,100000,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6,4
476,610000,21000,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,6
477,300000,60000,23.5 kmpl,1498 CC,90 bhp,204Nm@ 2000-2750rpm,5,7
478,140000,40000,16.6 kmpl,1405 CC,70 bhp,"14.3@ 1,800-3,000(kgm@ rpm)",5,10
479,229999,50000,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,12
480,200000,65000,19.0 kmpl,998 CC,66.1 bhp,90Nm@ 3500rpm,5,10
481,200000,80000,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,9
482,560000,119000,23.9 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,5
483,750000,80000,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,4
484,585000,90000,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,3
485,760000,20000,17.01 kmpl,1591 CC,121.4 bhp,154.9Nm@ 4200rpm,5,4
486,430000,80000,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,6
487,480000,44665,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6,0
488,643000,10000,20.8 kmpl,1493 CC,113.4 bhp,250nm@ 1500-2750rpm,5,1
489,500000,60000,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,2
490,425000,22000,18.5 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5,4
491,250000,25000,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,6
492,285000,70000,27.62 kmpl,793 CC,47 bhp,125Nm@ 2000rpm,5,4
493,160000,123000,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5,12
494,250000,70000,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,9
495,170000,70000,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5,7
496,409999,45000,23.59 kmpl,1364 CC,67.06 bhp,170Nm@ 1800-2400rpm,5,7
497,400000,40000,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,5
498,700000,30000,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,1
499,350000,90000,12.9 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm,5,13
500,660000,34000,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7,4
